question,answer,source
What happens if I use the Fast function in Heat mode?,"When you select the Fast function in Heat mode, you may not be able to increase the fan speed for 3 to 5 minutes while the unit heats up.",User Manual - air conditioner.pdf
Can I change the set temperature and fan speed when using the Quiet function?,"No, when using the Quiet function, you can only change the airflow direction; you cannot adjust the set temperature or fan speed.",User Manual - air conditioner.pdf
What functions are canceled if I select the Quiet function?,"Selecting the Quiet function cancels the Wind-Free Cooling, Eco, good'sleep, and Fast functions.",User Manual - air conditioner.pdf
How do I turn off the beep sound that occurs when pressing a button on the remote control?,You can access the Beep function by selecting it from the Options menu and then turning off the beep option.,User Manual - air conditioner.pdf
How do I turn on or off the lighting of the indoor unit display?,"Use the Display lighting function by selecting ""Display"" from the menu.",User Manual - air conditioner.pdf
What happens if I change the current mode or function while the Display lighting is on?,The display lighting will turn on for 5 seconds and then turn off again.,User Manual - air conditioner.pdf
How do I turn off the Display lighting function completely?,"Run the method above again to turn it off, or simply turn the product off and on.",User Manual - air conditioner.pdf
What is the purpose of the Wi-Fi function in the air conditioner?,To pair your smartphone with the air conditioner for remote control via the SmartThings app.,User Manual - air conditioner.pdf
How do I turn on the Wi-Fi function?,Press and hold the button for 4 or more seconds until it turns on.,User Manual - air conditioner.pdf
What happens when I turn on the Wi-Fi function?,"Your smartphone will pair with the air conditioner, and the (Transmit) indicator will blink, displaying a message on the remote control display for a few seconds.",User Manual - air conditioner.pdf
How do I check the electricity consumption of my air conditioner?,Use the Usage function on the indoor unit display.,User Manual - air conditioner.pdf
What temperature appears on the indoor unit display when checking electricity usage?,The set temperature is displayed.,User Manual - air conditioner.pdf
Why might the electricity consumption shown on the indoor unit display differ from the actual amount consumed?,It may show slightly different values due to slight discrepancies in measurement.,User Manual - air conditioner.pdf
Can I view my air conditioner's electricity consumption history at any time?,"No, you can only view it when the air conditioner is currently operating.",User Manual - air conditioner.pdf
How is the electricity consumption calculated by the air conditioner?,"It calculates from the moment the air conditioner turns on, and resets to zero when it turns off.",User Manual - air conditioner.pdf
What should I do before cleaning the outside of the indoor air conditioner unit?,Turn off the air conditioner and wait until the fan stops.,User Manual - air conditioner.pdf
Can I use any type of cloth to clean the exterior of the indoor air conditioner unit?,"No, use a soft brush or tepid damp cloth.",User Manual - air conditioner.pdf
What should I avoid doing when cleaning the appliance to prevent electric shock or fire?,Do not spray water directly onto the unit.,User Manual - air conditioner.pdf
Can I clean the heat exchanger on the outdoor unit with any type of cleaner?,"No, do not use sulphuric acid, hydrochloric acid, or organic solvents such as paint thinner, kerosene, acetone, benzene, or alcohol.",User Manual - air conditioner.pdf
What should I do if I need to inspect or clean the inside of the heat exchanger on the outdoor unit?,Contact a local service centre for help.,User Manual - air conditioner.pdf
How often should I clean the air filter?,"You should clean the air filter every two weeks or when the ""filter-cleaning reminder"" appears on the indoor unit display.",User Manual - air conditioner.pdf
What is the recommended cleaning method for the air filter?,"Slide the filter off, use a soft brush or vacuum cleaner to remove dust and debris, soak in water and mild detergent for 30 minutes, rinse and let it air dry.",User Manual - air conditioner.pdf
How do I reset the filter-cleaning reminder after cleaning the filter?,"Select ""Filter Reset"" on the unit's display.",User Manual - air conditioner.pdf
What kind of brush should I use to clean the air filter?,A soft-brush is recommended. Avoid using a hard-bristle brush or other cleaning utensils.,User Manual - air conditioner.pdf
How do I avoid damaging the air filter during cleaning?,"Be careful not to damage the filter when sliding it off, soaking it in solution, or letting it dry.",User Manual - air conditioner.pdf
How often should I replace the Tri-care filter?,"Replace the Tri-care filter once every three years, but this may vary depending on your environment and usage time.",User Manual - air conditioner.pdf
Can I clean the Tri-care filter with water?,"No, do not clean the Tri-care filter with water as it may result in damage to the filter.",User Manual - air conditioner.pdf
How often should I clean the Wind-Free panel?,Clean the Wind-Free panel at least once a month.,User Manual - air conditioner.pdf
What is the correct order of steps for cleaning and reattaching the Wind-Free panel?,"First, pull the airflow blade open. Then, hold and pull both sides of the Wind-Free panel until it comes free from the air conditioner. Next, use a soft brush or vacuum cleaner to remove any dust. Finally, align the projections of the Wind-Free panel with the grooves at the top, middle, and bottom of the front panel.",User Manual - air conditioner.pdf
What will happen if I attach the Wind-Free panel without opening the airflow blade first?,The Wind-Free panel may become obstructed by the panel itself and may not open properly.,User Manual - air conditioner.pdf
Why doesn't my remote control work?,"Replace the batteries in the remote control, make sure it can send an unobstructed signal to the unit, and keep bright lights away from the unit.",User Manual - air conditioner.pdf
How do I ensure the Timed on/off function works properly?,Make sure to press the (SET) button on the remote control when setting the timer.,User Manual - air conditioner.pdf
Why is the indicator light on my remote control blinking continuously?,"Press the (Power) button to turn off the unit, or disconnect the power plug. If the issue persists, contact your service provider.",User Manual - air conditioner.pdf
Why are there odors coming from the unit during regular operation?,"If the unit is operating in a smoky area, ventilate the room or operate the unit in Fan mode for 3 to 4 hours. Check if the drain lines are clean and clean them regularly.",User Manual - air conditioner.pdf
What do I do when my remote control display shows an error message?,Write down the error code (if the indoor unit indicator blinks) and contact your service provider with the error code.,User Manual - air conditioner.pdf
Why is my unit generating noise?,"It's normal for the unit to generate some noise while operating. If you're experiencing additional noise, check if the pipe length between units is less than 3 m and no coil was used (refer to ""Typical installation"" in the Installation manual).",User Manual - air conditioner.pdf
Why is smoke coming from the outdoor unit?,"In winter, this is likely steam coming from the outdoor heat exchanger while the Defrost function is on.",User Manual - air conditioner.pdf
What if I notice water dripping from the pipe connections on the outdoor unit?,Condensation may develop when the ambient temperature or humidity changes significantly. This is normal.,User Manual - air conditioner.pdf
How do I turn on the power for my air conditioner?,Plug in the power cord of the air conditioner and then turn on the power.,User Manual - air conditioner.pdf
What should I press on the remote control to connect it to my smartphone via the SmartThings app?,Press the (Timer) button on the remote control for at least 4 seconds.,User Manual - air conditioner.pdf
"How do I add a new device, such as an air conditioner, to my Samsung account in the SmartThings app?",Tap Add device on the home screen of the SmartThings app and then select ADD DEVICE MANUALLY > Air conditioner > Room air conditioner.,User Manual - air conditioner.pdf
How do I access the control panel for my air conditioner in the SmartThings app?,"Launch the SmartThings app, go to the home screen, and tap the device card for the air conditioner.",User Manual - air conditioner.pdf
What should I refer to on the next page after accessing the control panel for remote control instructions?,Refer to the table on the next page for remote control instructions.,User Manual - air conditioner.pdf
What safety precautions should I take when using this washing machine?,"Refer to pages 4-5 for important safety precautions, including critical installation warnings and usage cautions.",sharp.pdf
How do I install my washing machine correctly?,"Follow the step-by-step installation instructions on pages 18-28, including before you start and initial setup procedures.",sharp.pdf
What detergent is recommended for use in this washing machine?,Page 32 lists the recommended detergent for optimal performance. You can also refer to the detergent drawer guidelines on page 33.,sharp.pdf
How do I operate a cycle on my washing machine?,"The operating a cycle instructions are located on pages 37-38, which provide an overview of the available cycles and how to select them using the control panel.",sharp.pdf
Can I use this washing machine for emergency draining?,"Yes, you can refer to page 52 for instructions on how to perform an emergency drain.",sharp.pdf
How often should I clean my washing machine's drum?,"Page 51 recommends cleaning the drum regularly using the ""Drum Clean+"" function.",sharp.pdf
What should I do if my washing machine is not working properly?,"Consult the troubleshooting section on page 58 for possible solutions to common issues, including checkpoints and information codes.",sharp.pdf
What should I do with this manual after reading it?,Store it in a safe location close to the appliance for future reference.,sharp.pdf
Can I use my washing machine for purposes other than what's described in this manual?,"No, use this appliance only for its intended purpose as described in this instruction manual.",sharp.pdf
Who is responsible for ensuring that I use the washing machine safely and efficiently?,"You are responsible to use common sense, caution and care when installing, maintaining and operating your washing machine.",sharp.pdf
What should I do if I have any questions or concerns about using my washing machine?,Contact your nearest service centre or find help and information online at www.samsung.com.,sharp.pdf
Why are there warning signs in this manual?,These warning signs are here to prevent injury to yourself and others. Please follow them explicitly.,sharp.pdf
What should I do before using the appliance for the first time?,Read all instructions before using the appliance.,sharp.pdf
What should I do if my child plays around or touches the door glass of the washing machine?,"Do not allow children to play around the washing machine or touch the door glass, as this may result in burns.",sharp.pdf
Can I insert my hand into the detergent drawer while it's in use?,"No, do not insert your hand into the detergent drawer, as this may result in injury from being caught by the detergent input device.",sharp.pdf
What should I remove before using powdered detergent?,"Remove the liquid detergent guide (applicable models only) when using powdered detergent, to prevent water leaks through the front of the detergent drawer.",sharp.pdf
"Can I wash laundry contaminated with oils, creams, or lotions in the washing machine?","No, do not wash laundry contaminated by oils, creams or lotions usually found in skincare shops or massage clinics, as this may cause the rubber seal to become deformed and result in a water leak.",sharp.pdf
What should I avoid leaving inside the drum for long periods of time?,"Do not leave metal objects such as safety pins, hair pins or bleach in the drum, as this may cause the drum to rust.",sharp.pdf
Can I use dry cleaning detergent directly in the washing machine?,"No, do not use dry cleaning detergent directly and do not wash, rinse, or spin laundry contaminated by dry cleaning detergent, as this may result in spontaneous combustion or ignition due to heat from oxidation of oil.",sharp.pdf
What type of water should I avoid using for the washing machine?,"Do not use water from water cooling/heating devices, as this may cause problems with the washing machine.",sharp.pdf
Can I use natural hand-washing soap in the washing machine?,"No, do not use natural hand-washing soap, as it may harden and accumulate inside the washing machine, causing problems with the appliance, discoloration, rust, or bad odors.",sharp.pdf
How should I wash socks and brassieres to prevent damage?,"Place socks and brassieres in a washing net and wash them with the other laundry, but do not wash large laundry items such as bedding in the washing net.",sharp.pdf
What can happen if I don't follow the instruction to empty pockets before washing clothing?,"Hard, sharp objects in pockets can cause extensive damage to the appliance.",sharp.pdf
What is the recommended way to connect the washing machine to a power source?,Use an individual branch circuit specific to the washing machine.,sharp.pdf
Why is it important to ensure proper grounding for the washing machine?,"To prevent electric shock, improper grounding can be hazardous.",sharp.pdf
Can I use an extension cord to connect the washing machine to a power outlet?,"No, do not use an extension cord according to the warning in the manual.",sharp.pdf
What is the recommended water pressure range for this washing machine?,Between 50 kPa and 1000 kPa.,sharp.pdf
What happens if the water pressure is less than 50 kPa?,"The water valve may not close completely, or it may take longer to fill the drum, causing the washing machine to turn off.",sharp.pdf
What is the recommended height for a standpipe when installing the drain hose?,60-90 cm high.,sharp.pdf
How should I connect the drain hose to the standpipe?,"Through the hose clip, making sure the standpipe fully covers the drain hose.",sharp.pdf
How should I place a laundry capsule in the washing machine?,Put the capsule in the bottom of the empty drum towards the rear.,sharp.pdf
Will the capsule dissolve completely for all cycle types?,"No, it may not dissolve completely for cycles using cold water or those that complete in less than one hour.",sharp.pdf
What type of detergent is recommended for Universal and Delicates and Woolens cycles?,Liquid detergent only.,sharp.pdf
Is powder detergent suitable for Cotton cycle?,"Yes, it is recommended for the Cotton cycle.",sharp.pdf
Can I use liquid detergent for the Intense Cold cycle?,"No, according to the chart, liquid detergent is not recommended for this cycle.",sharp.pdf
How do I turn the washing machine on and off?,You can tap to turn the washing machine on or off.,sharp.pdf
What happens if I don't interact with the control panel for 10 minutes after turning it on?,The washing machine will automatically turn off.,sharp.pdf
How do I navigate through cycles and functions?,Turn the navigation dial left or right to select different options.,sharp.pdf
What does the LCD display when I use the navigation dial?,"It shows your selection, such as cycle, additional functions, or system functions.",sharp.pdf
How do I start an operation?,Tap and hold the Start/Pause button.,sharp.pdf
Can I pause a cycle in progress?,"Yes, tap and hold the Start/Pause button to pause the cycle first, then you can turn it off.",sharp.pdf
What information does the display show during a cycle?,It shows current cycle information and estimated time remaining.,sharp.pdf
How do I change the water temperature for a selected cycle?,Tap the Temp. button to adjust the water temperature.,sharp.pdf
What is the purpose of the Rinse button?,You can tap it to change the rinse count for the selected cycle.,sharp.pdf
How do I change the spin speed for a selected cycle?,Tap the Spin button to select a different spin speed.,sharp.pdf
How do I access additional functions?,Tap the Additional function button to enter the additional functions menu.,sharp.pdf
How do I activate or deactivate the Smart Control function?,Tap to activate or deactivate the Smart Control function.,sharp.pdf
What is the purpose of the Wi-Fi icon on my washing machine's display?,This icon indicates that the washing machine is connected to Wi-Fi.,sharp.pdf
Can I control my washing machine remotely using the SmartThings app?,"Yes, you can control your washing machine remotely using the SmartThings app on your smartphone or tablet (Android or iOS) when the Smart Control function is activated.",sharp.pdf
What does it mean if the door lock icon appears on my washing machine's display?,The door locks automatically during a cycle and this indicator turns on. You can open the door when this icon disappears.,sharp.pdf
How do I turn on the washing machine?,Tap to turn on the washing machine.,sharp.pdf
How do I select a cycle for operation?,Turn the Navigation dial to select the cycle you want.,sharp.pdf
Can I change the default cycle settings?,"Yes, tap , , or to change the default cycle settings.",sharp.pdf
What is the purpose of the additional function in some cycles?,You can tap and then turn the Navigation dial to select additional functions. Not all cycles have additional functions available.,sharp.pdf
How do I start a selected operation?,Tap and hold to start operation.,sharp.pdf
How do I select the Bubble Soak function in my washing machine?,"To select Bubble Soak, press the ""Cycle"" button, turn the Navigation dial to select Bubble Soak, and then press the ""Start"" button.",sharp.pdf
What cycles can I use with the Bubble Soak function?,"You can use the Bubble Soak function with the Cotton, Synthetics, Bedding, and Super Speed cycles. It will add up to 30 minutes to these cycles.",sharp.pdf
Can I edit a cycle while the washing machine is operating?,"No, you can only edit a cycle when the washing machine is not in operation.",sharp.pdf
How do I add or remove a cycle from my personal cycle list (My Cycles)?,"To add or remove a cycle, press the ""Cycle"" button, turn the Navigation dial to select My Cycles, and then press the ""Start"" button. You can also edit My Cycles in the SmartThings app.",sharp.pdf
What happens if I try to remove the Eco 40-60 or Drum Clean+ cycles from my list?,These two cycles cannot be removed from the cycles list.,sharp.pdf
How do I save changes to my personal cycle list (My Cycles)?,Any additions or removals you make to My Cycles are saved automatically.,sharp.pdf
How can I set my washing machine to finish a wash cycle at a later time?,"You can select a cycle, tap the icon, and then turn the Navigation dial to select Delay End.",sharp.pdf
What is the maximum delay time available for the Delay End feature?,The maximum delay time is 24 hours in 1-hour increments.,sharp.pdf
How do I cancel the Delay End feature if I want to start the wash cycle immediately?,You can tap to restart the washing machine.,sharp.pdf
What happens when the washing machine senses the weight of the load during a wash cycle with load sensing enabled?,The display shows the remaining time until the end of the wash cycle.,sharp.pdf
How do I prevent children or infants from accidentally starting or setting the washing machine?,"You can enable Child Lock by tapping, selecting Child Lock, and then tapping.",sharp.pdf
What happens when Child Lock is on?,"All buttons are disabled except for  and , and the washing machine door locks. Tapping a button triggers an alarm with the “Child Lock On” message.",sharp.pdf
How do I know if the Child Lock function is turned on or off?,The Child Lock icon turns on when the function is on.,sharp.pdf
How do I access system functions on my washing machine?,Tap and hold for 3 seconds.,sharp.pdf
How do I select a desired system function?,"Turn the Navigation dial and select the desired system function, then tap .",sharp.pdf
How do I start or change settings of a selected function?,Tap to change the selected function’s settings or start the function.,sharp.pdf
"What is AI Pattern, and how does it work?","This function saves frequently used cycles and settings, remembering them for display in frequency order when turned on.",sharp.pdf
How do I turn AI Pattern off if not using it?,"Tap and hold for 3 seconds, then turn the Navigation dial to select AI Pattern, tap , and select Off.",sharp.pdf
Can I customize or turn off the alarm sound?,"Yes, you can turn on or off the melody of cycle completion by tapping and holding for 3 seconds, selecting Alarm, and tapping .",sharp.pdf
Does turning off the alarm affect other sounds on the washing machine?,"No, other sounds stay active even if the alarm is turned off.",sharp.pdf
What does calibration do for my washing machine?,Calibration helps with accurate weight detection by recalibrating the machine.,sharp.pdf
How do I run calibration again if needed?,"Tap and hold for 3 seconds, then turn the Navigation dial to select Calibration, and tap .",sharp.pdf
Does calibration start automatically when the door is closed properly?,"Yes, it does.",sharp.pdf
How do I turn the washing machine's Wi-Fi on or off?,"Tap and hold for 3 seconds, then use the Navigation dial to select Wi-Fi and tap to toggle it On or Off.",sharp.pdf
Will my washing machine connect to a network automatically when I first turn it on?,"Yes, if you haven't already turned on its Wi-Fi, it will connect to your network automatically when you first turn it on.",sharp.pdf
How do I know if the washing machine is connected to the router through Wi-Fi?,The Wi-Fi icon indicates that the washing machine is connected to the router through Wi-Fi.,sharp.pdf
Can I change the system language of my washing machine?,"Yes, you can change the system language by following steps 1-3 under Language in the settings menu.",sharp.pdf
How do I reset my washing machine to its factory settings?,"Tap and hold for 3 seconds, then use the Navigation dial to select Factory Reset and tap to confirm.",sharp.pdf
How do I add laundry after the wash cycle has started?,Use the AddWash door by following steps 1-4 in the instructions.,sharp.pdf
What should I do to stop the current wash cycle before adding new laundry?,Tap and hold the button to pause the wash cycle.,sharp.pdf
Can I open the AddWash door at any time during the wash cycle?,"No, you must first tap and hold the button to pause the cycle before opening the AddWash door.",sharp.pdf
How often should I run the Drum Clean+ cycle?,"It is advisable to perform Drum Clean+ regularly, and a reminder will appear on the control panel once every 40 washes.",sharp.pdf
What temperature does the Drum Clean+ cycle use?,The Drum Clean+ cycle heats the water between 60 °C and 70 °C.,sharp.pdf
Can I add cleaning agents to the drum for extra cleaning?,"No, it's recommended not to use any cleaning agents for cleaning the drum. Chemical residue may cause damage to the laundry or the drum.",sharp.pdf
How do I know if my washing machine needs a Drum Clean+ cycle?,"The Drum Clean+ reminder will appear on the control panel as an icon or LED, and blink once every 40 washes.",sharp.pdf
What happens if I ignore the Drum Clean+ reminder for a few washes?,"If you ignore the reminder for the first 6 consecutive washes after it appears, it will disappear. However, it will appear again on the second 40th wash.",sharp.pdf
Can I mark my cycle count manually?,"Yes, you can record the running count of the Drum Clean+ cycle by pressing the Power button, but this does not stop or turn off the machine.",sharp.pdf
"Will the ""0"" message disappear after completing the Drum Clean+ cycle?","The ""0"" message may remain even after the last process is terminated, but it won't affect the machine's operation.",sharp.pdf
Why is my washing machine making excessive vibrations or noise?,"Make sure the washing machine is installed on a level, solid floor that is not slippery. Also, check if any shipping bolts are removed and ensure the laundry load is balanced.",sharp.pdf
Can overalls or clothes with metallic decorations cause noise while being washed?,"Yes, this is normal behavior and should not be a cause for concern.",sharp.pdf
Why is my washing machine not draining or spinning?,"Check if the drain hose is straightened all the way to the drain system. Also, ensure that the debris filter is not clogged and that the door is closed.",sharp.pdf
What should I do if my washing machine is not supplied with sufficient power?,The washing machine will temporarily stop draining or spinning until it regains sufficient power.,sharp.pdf
Why won't the door of my washing machine open?,Tap and hold the pause button to stop the washing machine. It may take a few moments for the door lock mechanism to disengage.,sharp.pdf
What if water remains in the drum and I still can't open the door?,Drain the drum and try opening the door manually.,sharp.pdf
How do I adjust the height of my washing machine if the floor is not level?,Use the levelling feet to adjust the height of the washing machine.,sharp.pdf
Why is my washing machine leaking water?,"The door may not be properly closed, hose connections may not be tight, or the end of the drain hose may not be correctly inserted and secured to the drain system.",sharp.pdf
How can I prevent leaks while using my washing machine?,"Make sure all hoses are securely connected, check that the end of the drain hose is correctly inserted and secured to the drain system, and avoid overloading the machine.",sharp.pdf
Why does my washing machine have a bad smell?,"Excessive suds can collect in recesses and cause foul odors. You should run cleansing cycles periodically, clean the door seal (diaphragm), and dry the interior after each cycle.",sharp.pdf
How often should I run cleansing cycles to sanitize the washing machine?,Run cleansing cycles periodically to maintain cleanliness and prevent odors.,sharp.pdf
Can I open the AddWash door at any time?,"No, you can only open it when the indicator appears on the display. However, there are some exceptions where the door won't open, such as during boiling or drying processes, with Child Lock enabled, or if a drum wash cycle is running.",sharp.pdf
What should I do if a message appears on the display saying the dispenser is open?,"Check if the detergent drawer is closed properly and close it again. If the issue persists, contact a service center.",sharp.pdf
Why does my washing machine's actual washing time differ from what was initially displayed?,"The estimated time displayed may not match the actual time required for washing due to various factors, such as heavily contaminated laundry or excessive items in the drum.",sharp.pdf
"Why does my washing machine display ""Addwash door is open""?",This message appears when you open the Add Door without pressing Start/Pause (Hold to Start).,sharp.pdf
"What should I do if my washing machine displays ""OC - Water has overflowed""?","Try restarting after spinning. If the issue persists, contact a local Samsung service centre.",sharp.pdf
"Why does my washing machine display ""LC, LC1 - Check the drain hose""?","Make sure the end of the drain hose is not placed on the floor and that it's not clogged. If the issue remains, contact a customer service centre.",sharp.pdf
"What should I do if my washing machine displays ""3C - Check the drum motor for operation""?","Try restarting the cycle. If the issue persists, contact a customer service centre.",sharp.pdf
"Why does my washing machine display ""UC - Check the pulsator motor for operation""?","Check if power is supplied properly. If the issue remains, contact a customer service centre.",sharp.pdf
"What should I do if my washing machine displays ""Low voltage detected""?","Check if the power cord is plugged in. If the issue persists, contact a customer service centre.",sharp.pdf
"Why does my washing machine display ""HC - High temperature heating check""?",Contact a customer service centre for assistance.,sharp.pdf
"What should I do if my washing machine displays ""1C - The Water Level sensor is not working properly""?","Turn the machine off and restart the cycle. If the issue persists, contact a customer service centre.",sharp.pdf
"Why does my washing machine display ""AC - Check communications between main and sub PBAs""?","Turn the machine off and restart the cycle. If the issue remains, contact a customer service centre.",sharp.pdf
"What should I do if my washing machine displays ""8C - The MEMS sensor is not working properly""?","Turn the machine off and restart the cycle. If the issue persists, contact a customer service centre.",sharp.pdf
What is the maximum washing temperature for a normal wash?,"95°C, 60°C, 40°C, or 30°C.",sharp.pdf
Is it okay to hand-wash garments with this care label?,"It depends on the specific instructions; some may say ""Hand wash"" while others will say ""Do not wash"".",sharp.pdf
Can I use any type of bleach on my garment?,"No, only if the care label says ""Any bleach allowed""; otherwise, it may say ""Only oxygen bleach allowed"" or ""Do not bleach"".",sharp.pdf
What is the maximum exhaust temperature for tumble drying a normal wash load?,80°C.,sharp.pdf
Can I line dry my garment in direct sunlight?,"It depends on the specific instructions; some may say ""Line drying"", while others will specify ""Line drying in the shade"".",sharp.pdf
Why is it important to follow the care label directions?,To maximize garment life and reduce laundering problems.,sharp.pdf
What is the maximum sole plate temperature for ironing?,"200°C, 150°C, and 110°C (depending on the type of iron).",sharp.pdf
Can I use steam irons with this appliance?,Caution should be used when using steam irons.,sharp.pdf
Is it safe to iron certain fabrics?,No information is provided about specific fabrics that cannot be ironed.,sharp.pdf
How should I clean delicate items?,Use mild professional wet-cleaning or very mild professional wet-cleaning methods.,sharp.pdf
What types of dry cleaning solvents can be used with this appliance?,"Perchloroethylene and/or hydrocarbons (heavy benzines) can be used, but the gentle process is recommended for some items.",sharp.pdf
How should I dispose of this appliance when it reaches the end of its life?,"Recycle the materials used to manufacture the appliance, cut off the power cord, and remove the lid so that animals and small children cannot get trapped inside.",sharp.pdf
Where is the ice maker located in my refrigerator?,"The ice maker and bin are located on the door, which helps to create more usable storage space.",fridge-owners-manual.pdf
What type of lighting does my refrigerator have?,"Your refrigerator has LED lights, which are located at the top center and on the left and right sides of climate zone pans in the fresh food compartment, as well as in the freezer.",fridge-owners-manual.pdf
Is there extra storage space in my fresh food compartment?,"Yes, you can use the full-width drawer at the bottom for larger items, and the QuickSpace shelf (on some models) that slides back to store tall items below.",fridge-owners-manual.pdf
Can I adjust the door bins in my refrigerator?,"Yes, the removable/adjustable door bins can be moved up or down to accommodate your needs.",fridge-owners-manual.pdf
Where is the water filter located in my refrigerator?,The water filter is accessible for easy replacement.,fridge-owners-manual.pdf
How long does it take for the temperature to stabilize after adjusting the freezer compartment temperature?,24 hours.,fridge-owners-manual.pdf
What is the default setting for the fresh food compartment temperature?,Colder position (0°F).,fridge-owners-manual.pdf
Why can't I disconnect power to the refrigerator by changing the control panel settings?,Because power cannot be disconnected from the refrigerator by any setting on the control panel.,fridge-owners-manual.pdf
What is TurboCool used for?,"To rapidly cool the refrigerator compartment in order to quickly cool foods, especially after adding a large amount of food or when putting away warm leftovers.",fridge-owners-manual.pdf
Can I change the refrigerator temperature while using TurboCool?,"No, the refrigerator temperature cannot be changed during TurboCool.",fridge-owners-manual.pdf
How do I reset the Water Filter?,Press and hold for 3 seconds.,fridge-owners-manual.pdf
What happens if I leave a door open for more than 2 minutes with the Door Alarm set?,The alarm will sound until you close the door.,fridge-owners-manual.pdf
Why should I not block the air outlet by placing food items directly against it?,To prevent erratic temperatures from resulting.,fridge-owners-manual.pdf
How do I turn off the refrigerator completely?,"Simultaneously touch the words ""Freezer"" and ""Fridge"" for 3 seconds.",fridge-owners-manual.pdf
Can I change the refrigerator temperature during TurboCool mode?,"No, the refrigerator temperature cannot be changed during TurboCool mode.",fridge-owners-manual.pdf
When can I use TurboCool mode to quickly cool my foods?,"Use TurboCool when adding a large amount of food, putting away foods after they have been sitting out at room temperature, or when putting away warm leftovers. It can also be used if the refrigerator has been without power for an extended period.",fridge-owners-manual.pdf
How do I toggle the door alarm on/off?,Press the Alarm pad to toggle the door alarm between off and on.,fridge-owners-manual.pdf
How long does the door have to be left open before the alarm sounds?,The alarm will sound if either door is left open for more than 2 minutes.,fridge-owners-manual.pdf
How do I lock out ice and water dispenser and all other controls?,"Press and hold the Lock pad for 3 seconds to lock out controls, and press and hold again to unlock them.",fridge-owners-manual.pdf
How do I turn on/off the LED dispenser light?,Press the Light pad to turn your dispenser light on and off.,fridge-owners-manual.pdf
How do I put the refrigerator control in the OFF position?,Simultaneously touch the words Freezer and Fridge for 3 seconds.,fridge-owners-manual.pdf
How do I dispense water from the internal water dispenser?,"To dispense water, hold the glass against the recess and push the water dispenser button. Hold the glass underneath the dispenser for 2-3 seconds after releasing the button.",fridge-owners-manual.pdf
What should I do if no water is dispensed when the refrigerator is first installed?,There may be air in the water line system. Press the dispenser button for at least 5 minutes to remove trapped air and fill the water system.,fridge-owners-manual.pdf
How often should I clean the water dispenser?,The dispenser should be cleaned periodically by wiping with a clean cloth or sponge to avoid water deposits.,fridge-owners-manual.pdf
How do I remove the Dispenser Tray?,Pull the Dispenser Tray out.,fridge-owners-manual.pdf
How do I reinstall the Dispenser Tray?,Push the tray in until it is firmly in place.,fridge-owners-manual.pdf
How do I access the ice bucket from the door ice bin?,"Open the left fresh food door, pull down the latch to release the bin door, lift the ice bucket up and out using the handhold.",fridge-owners-manual.pdf
What should I do if the ice bucket cannot be replaced?,Rotate the Ice Bucket Fork 1/4 turn clockwise to properly seat the bucket.,fridge-owners-manual.pdf
What is a laceration hazard to avoid when using the ice crusher discharge opening?,"Never put fingers or any other object into the ice crusher discharge opening, as it can result in serious injury or amputation.",fridge-owners-manual.pdf
How should I use the dispenser tray to prevent breakage?,"Use a sturdy glass when dispensing ice, and never touch the dispenser opening with your fingers.",fridge-owners-manual.pdf
"What products should not be used to clean stainless steel panels, door handles, and trim?","Appliance wax, polish, bleach, or other products containing chlorine.",fridge-owners-manual.pdf
"How can I clean stainless steel panels, door handles, and trim?","Use a commercially available stainless steel cleaner, such as a spray-on cleaner.",fridge-owners-manual.pdf
What should not be used to clean silver-accented plastic parts?,"Scouring pads, powdered cleaners, bleach, or cleaners containing bleach.",fridge-owners-manual.pdf
Should I unplug the refrigerator before cleaning it?,"Yes, if possible. If not practical, wring excess moisture out of the sponge or cloth when cleaning around switches, lights, or controls.",fridge-owners-manual.pdf
What can be used to clean and neutralize odors inside the refrigerator?,A solution made by mixing 1 tablespoon (15 ml) of baking soda with a quart (1 liter) of water.,fridge-owners-manual.pdf
How should I move the refrigerator away from the wall?,"Be careful, as all types of floor coverings can be damaged. Raise the leveling legs and pull the refrigerator straight out. Return it to position by pushing it straight in.",fridge-owners-manual.pdf
What should I do with food and unplug the refrigerator when going on a long vacation?,Remove food and unplug the refrigerator. Clean the interior with a baking soda solution of 1 tablespoon (15 ml) per quart (1 liter) of water. Leave the doors open.,fridge-owners-manual.pdf
How can I prevent serious property damage due to flooding when leaving for an extended period?,Have a qualified service technician drain the water supply system if the temperature is expected to drop below freezing.,fridge-owners-manual.pdf
What should I do with the ice maker and water filter when turning off the water supply?,Turn off the ice maker (page 14) and replace the water filter upon returning from vacation.,fridge-owners-manual.pdf
Where is the LED lighting located in a French door refrigerator model?,"The LED lighting is located at the top center of the fresh food compartment, as well as above the climate zone pans on the left and right sides.",fridge-owners-manual.pdf
Do all single door refrigerator models have LED lighting?,"Yes, they do. The LED lights are located at the top of the fresh food compartment.",fridge-owners-manual.pdf
Where can I find LED lighting in the freezer of my refrigerator?,You can find LED lighting at the top of the left and right sides of the freezer in all models.,fridge-owners-manual.pdf
Who is responsible for replacing the LED light assembly if it needs to be replaced?,"An authorized technician will need to replace the LED light assembly. If you need assistance, call GE Appliances Service at 1-800-432-2737 (in the US) or 1-800-561-3344 (in Canada).",fridge-owners-manual.pdf
